2018-05-07 22:00:03.566 [main] DEBUG com.leeue.novel.dao.NewsDao.insertNews- ==>  Preparing: INSERT INTO tb_author_news(news_id,news_title,upload_date,news_body,admin_name) VALUES (?,?,?,?,?)  
2018-05-07 22:01:20.175 [main] DEBUG com.leeue.novel.dao.NewsDao.insertNews- ==>  Preparing: INSERT INTO tb_author_news(news_id,news_title,upload_date,news_body,admin_name) VALUES (?,?,?,?,?)  
2018-05-07 22:01:20.259 [main] DEBUG com.leeue.novel.dao.NewsDao.insertNews- ==> Parameters: 0(Integer), 停站更新公告(String), 2018年05月07日 22:01:19(String),     网站也需要更新和维护的，所以各位最新停站消息(String), 李月(String) 
2018-05-07 22:01:20.368 [main] DEBUG com.leeue.novel.dao.NewsDao.insertNews- <==    Updates: 1 
2018-05-07 22:08:02.396 [main] DEBUG com.leeue.novel.dao.NewsDao.insertNews- ==>  Preparing: INSERT INTO tb_author_news(news_id,news_title,upload_date,news_body,admin_name) VALUES (?,?,?,?,?)  
2018-05-07 22:08:02.441 [main] DEBUG com.leeue.novel.dao.NewsDao.insertNews- ==> Parameters: 0(Integer), 华语悬疑大赛评奖预告(String), 2018年05月07日 22:08:02(String),      华语悬疑大赛评奖预告华语悬疑大赛评奖预告华语悬疑大赛评奖预告华语悬疑大赛评奖预告华语悬疑大赛评奖预告华语悬疑大赛评奖预告华语悬疑大赛评奖预告华语悬疑大赛评奖预告(String), 李月(String) 
2018-05-07 22:08:02.506 [main] DEBUG com.leeue.novel.dao.NewsDao.insertNews- <==    Updates: 1 
2018-05-07 22:08:41.857 [main] DEBUG com.leeue.novel.dao.NewsDao.insertNews- ==>  Preparing: INSERT INTO tb_author_news(news_id,news_title,upload_date,news_body,admin_name) VALUES (?,?,?,?,?)  
2018-05-07 22:08:41.914 [main] DEBUG com.leeue.novel.dao.NewsDao.insertNews- ==> Parameters: 0(Integer), 月票大战一触即发，双倍月票限时开启！(String), 2018年05月07日 22:08:41(String),      华语悬疑大赛评奖预告华语悬疑大赛评奖预告华语悬疑大赛评奖预告华语悬疑大赛评奖预告华语悬疑大赛评奖预告华语悬疑大赛评奖预告华语悬疑大赛评奖预告华语悬疑大赛评奖预告(String), 李月(String) 
2018-05-07 22:08:41.978 [main] DEBUG com.leeue.novel.dao.NewsDao.insertNews- <==    Updates: 1 
2018-05-07 22:09:07.292 [main] DEBUG com.leeue.novel.dao.NewsDao.insertNews- ==>  Preparing: INSERT INTO tb_author_news(news_id,news_title,upload_date,news_body,admin_name) VALUES (?,?,?,?,?)  
2018-05-07 22:09:07.347 [main] DEBUG com.leeue.novel.dao.NewsDao.insertNews- ==> Parameters: 0(Integer), 2017泛灵异征文报名进入最后冲刺阶段(String), 2018年05月07日 22:09:06(String),      华语悬疑大赛评奖预告华语悬疑大赛评奖预告华语悬疑大赛评奖预告华语悬疑大赛评奖预告华语悬疑大赛评奖预告华语悬疑大赛评奖预告华语悬疑大赛评奖预告华语悬疑大赛评奖预告(String), 李月(String) 
2018-05-07 22:09:07.399 [main] DEBUG com.leeue.novel.dao.NewsDao.insertNews- <==    Updates: 1 
2018-05-07 22:09:57.249 [main] DEBUG com.leeue.novel.dao.NewsDao.insertNews- ==>  Preparing: INSERT INTO tb_author_news(news_id,news_title,upload_date,news_body,admin_name) VALUES (?,?,?,?,?)  
2018-05-07 22:09:57.303 [main] DEBUG com.leeue.novel.dao.NewsDao.insertNews- ==> Parameters: 0(Integer), 二次元福利，火热进行中(String), 2018年05月07日 22:09:56(String),      华语悬疑大赛评奖预告华语悬疑大赛评奖预告华语悬疑大赛评奖预告华语悬疑大赛评奖预告华语悬疑大赛评奖预告华语悬疑大赛评奖预告华语悬疑大赛评奖预告华语悬疑大赛评奖预告(String), 李月(String) 
2018-05-07 22:09:57.421 [main] DEBUG com.leeue.novel.dao.NewsDao.insertNews- <==    Updates: 1 
2018-05-07 22:10:28.128 [main] DEBUG com.leeue.novel.dao.NewsDao.insertNews- ==>  Preparing: INSERT INTO tb_author_news(news_id,news_title,upload_date,news_body,admin_name) VALUES (?,?,?,?,?)  
2018-05-07 22:10:28.183 [main] DEBUG com.leeue.novel.dao.NewsDao.insertNews- ==> Parameters: 0(Integer), 二次元频道一帝四皇通缉令，第三批奖名单正式公布！(String), 2018年05月07日 22:10:27(String),      华语悬疑大赛评奖预告华语悬疑大赛评奖预告华语悬疑大赛评奖预告华语悬疑大赛评奖预告华语悬疑大赛评奖预告华语悬疑大赛评奖预告华语悬疑大赛评奖预告华语悬疑大赛评奖预告(String), 李月(String) 
2018-05-07 22:10:28.235 [main] DEBUG com.leeue.novel.dao.NewsDao.insertNews- <==    Updates: 1 
2018-05-07 22:10:54.232 [main] DEBUG com.leeue.novel.dao.NewsDao.insertNews- ==>  Preparing: INSERT INTO tb_author_news(news_id,news_title,upload_date,news_body,admin_name) VALUES (?,?,?,?,?)  
2018-05-07 22:10:54.274 [main] DEBUG com.leeue.novel.dao.NewsDao.insertNews- ==> Parameters: 0(Integer), 2017玄幻征文获奖名单发布(String), 2018年05月07日 22:10:53(String),      华语悬疑大赛评奖预告华语悬疑大赛评奖预告华语悬疑大赛评奖预告华语悬疑大赛评奖预告华语悬疑大赛评奖预告华语悬疑大赛评奖预告华语悬疑大赛评奖预告华语悬疑大赛评奖预告(String), 李月(String) 
2018-05-07 22:10:54.433 [main] DEBUG com.leeue.novel.dao.NewsDao.insertNews- <==    Updates: 1 
2018-05-07 22:11:39.728 [main] DEBUG com.leeue.novel.dao.NewsDao.insertNews- ==>  Preparing: INSERT INTO tb_author_news(news_id,news_title,upload_date,news_body,admin_name) VALUES (?,?,?,?,?)  
2018-05-07 22:11:39.771 [main] DEBUG com.leeue.novel.dao.NewsDao.insertNews- ==> Parameters: 0(Integer), 历史新纪元脑洞风暴征文(String), 2018年05月07日 22:11:39(String),      华语悬疑大赛评奖预告华语悬疑大赛评奖预告华语悬疑大赛评奖预告华语悬疑大赛评奖预告华语悬疑大赛评奖预告华语悬疑大赛评奖预告华语悬疑大赛评奖预告华语悬疑大赛评奖预告(String), 李月(String) 
2018-05-07 22:11:39.818 [main] DEBUG com.leeue.novel.dao.NewsDao.insertNews- <==    Updates: 1 
